
 num     #instances         #bytes  class name
 425:            28            896  com.fasterxml.jackson.databind.MapperFeature
 426:            16            896  javax.management.openmbean.ArrayType
 427:            14            896  org.apache.ibatis.mapping.ResultMap
 428:             1            888  [Lcom.mysql.cj.conf.PropertyKey;
 429:            10            880  com.mysql.cj.protocol.a.NativeServerSession
 430:            36            864  java.time.LocalDateTime
 431:            36            864  org.apache.ibatis.mapping.ParameterMap
 432:            21            840  com.sun.jmx.mbeanserver.MXBeanSupport
 433:            35            840  org.apache.ibatis.scripting.xmltags.IfSqlNode
 434:            34            832  [Lsun.reflect.generics.tree.TypeSignature;
 435:            52            832  java.util.HashMap$EntrySet
 436:            10            800  [Ljava.sql.Statement;
 437:            25            800  com.fasterxml.jackson.databind.SerializationFeature
 438:            33            792  java.util.regex.Pattern$5
 439:            33            792  sun.security.ssl.CipherSuiteList
 440:            49            784  org.springframework.boot.loader.jar.JarFile$$Lambda$3/511754216
 441:            49            784  sun.reflect.generics.tree.TypeVariableSignature
 442:            32            768  [Ljava.security.cert.X509Certificate;
 443:            32            768  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping
 444:            48            768  com.sun.proxy.$Proxy25
 445:            24            768  sun.security.x509.OIDMap$OIDInfo
 446:            19            760  sun.util.locale.BaseLocale$Key
 447:            47            752  com.sun.proxy.$Proxy24
 448:            31            744  java.util.regex.Pattern$Ques
 449:            31            744  org.apache.tomcat.util.res.StringManager
 450:            31            744  org.springframework.core.annotation.AnnotationTypeMappings
 451:            30            720  [Lsun.security.ssl.EphemeralKeyManager$EphemeralKeyPair;
 452:            30            720  com.mysql.cj.protocol.a.NativePacketPayload
 453:            30            720  com.sun.crypto.provider.TlsMasterSecretGenerator$TlsMasterSecretKey
 454:            30            720  java.io.ByteArrayOutputStream
 455:            15            720  java.lang.management.PlatformComponent
 456:            30            720  java.time.LocalDate
 457:            30            720  sun.security.ssl.AppInputStream
 458:            30            720  sun.security.ssl.AppOutputStream
 459:            22            704  com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference
 460:            29            696  java.lang.ProcessEnvironment$Value
 461:            29            696  java.lang.ProcessEnvironment$Variable
 462:            29            696  org.springframework.format.support.FormattingConversionService$ParserConverter
 463:            29            696  sun.reflect.generics.scope.MethodScope
 464:            43            688  org.apache.ibatis.logging.slf4j.Slf4jImpl
 465:            43            688  org.apache.ibatis.logging.slf4j.Slf4jLocationAwareLoggerImpl
 466:            28            672  com.sun.jmx.mbeanserver.PerInterface$MethodAndSig
 467:            42            672  java.time.format.DateTimeFormatterBuilder$CharLiteralPrinterParser
 468:            21            672  java.util.PropertyPermission
 469:            14            672  java.util.concurrent.ThreadPoolExecutor$Worker
 470:            28            672  java.util.regex.Pattern$Start
 471:            12            672  sun.nio.cs.UTF_8$Encoder
 472:            12            672  sun.security.ssl.CipherSuite$BulkCipher
 473:            41            656  java.nio.channels.spi.AbstractInterruptibleChannel$1
 474:            27            648  java.lang.ThreadLocal$ThreadLocalMap
 475:            27            648  org.springframework.beans.factory.config.ConstructorArgumentValues
 476:            20            640  java.util.RegularEnumSet
 477:            40            640  org.apache.catalina.connector.CoyoteInputStream
 478:            40            640  org.apache.catalina.connector.CoyoteOutputStream
 479:            40            640  org.apache.catalina.connector.RequestFacade
 480:            40            640  org.apache.catalina.connector.ResponseFacade
 481:            40            640  org.apache.coyote.http11.Http11InputBuffer$SocketInputBuffer
 482:            40            640  org.apache.coyote.http11.Http11OutputBuffer$SocketOutputBuffer
 483:            40            640  org.apache.coyote.http11.filters.VoidInputFilter
 484:            40            640  org.apache.coyote.http11.filters.VoidOutputFilter
 485:            40            640  org.apache.tomcat.util.buf.UDecoder
 486:            16            640  org.springframework.beans.factory.config.ConstructorArgumentValues$ValueHolder
 487:            10            640  org.springframework.util.LinkedCaseInsensitiveMap$1
